Country Name,1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020],Latitude,Longitude
France,14.2,13.4,12.8,13.3,12.8,12.9,12,10.9,46.603354,1.8883335
India,34.602,31.816,29.361,27.001,23.94,21.438,18.765,16.572,22.3511148,78.6677428
China,21.04,21.06,17.12,14.03,12.4,11.9,11.99,8.52,35.000074,104.999927
United States,15.8,16.7,14.6,14.4,14,13,12.4,10.9,39.7837304,-100.445882
Indonesia,29.178,25.515,23.791,21.86,20.735,20.158,18.448,16.649,-2.4833826,117.8902853
Pakistan,44.245,43.147,39.211,35.761,32.867,32.109,29.699,27.967,30.3308401,71.247499
Nigeria,45.189,43.791,43.744,43.5,43.075,42.094,39.51,37.467,9.6000359,7.9999721
Brazil,28.99,24.844,22.319,19.841,17.335,15.492,14.727,13.078,-10.3333333,-53.2
Bangladesh,40.734,34.966,30.453,28.956,25.509,21.379,19.158,18.053,24.4769288,90.2934413
Russia,16.6,13.4,9.3,8.7,10.2,12.5,13.3,9.8,64.6863136,97.7453061
Ethiopia,51.019,50.052,47.648,44.501,40.997,36.528,33.428,32.78,10.2116702,38.6521203
Mexico,32.445,29.297,26.87,24.158,21.9,20.152,17.968,15.565,23.6585116,-102.0077097
Japan,11.9,10,9.6,9.5,8.4,8.5,8,6.8,36.5748441,139.2394179
Egypt,38.018,33.207,29.01,26.986,25.977,27.16,28.078,23.051,26.2540493,29.2675469
Philippines,34.888,33.265,31.288,28.769,27.019,25.511,23.252,22.039,12.7503486,122.7312101
Democratic Republic of Congo,46.517,46.005,47.093,45.004,44.196,44.526,43.641,42.311,-15.4139213,28.289698
